SMILES,Molar Mass/Molecular Weight,Density,Melting point,Boiling point,Solubility in water,Vapor pressure,Hydroxyl,Carboxyl,Ester,Primary Amine,Amide,Ether,Alkene,Alkyne,Azo,Nitro,Nitrile,Benzene,Fluoro,Anhydride
CN(C)C=O,73.09 g/mol,944 kg/m3,-60.4 C,153C,Miscible,3.87 mmHg,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
COC(C)=O,74.08 g/mol,0.9342 g/cm3,-144 F,134.4 F,243 mg/mL,216.2 mmHg,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
COC(N)=O,75.07 g/mol,1.1361 g/cm3,129 F,177 C,100 mg/mL,0.56 mmHg,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
COC=O,60.05 g/mol,0.98 g/cm3,-99.8 C,31.5 C,0.3,585.7 mmHg,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FC(F)(F)F,88.004 g/mol,3.034 g/cm3,-183.582 C,-127.9 C,18.8 mg/L,7.50062 mmHg,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
FC1=CNC(=O)NC1=O,130.08 g/mol,,282 C,,Sparingly soluble,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
N#CC#N,52.03 g/mol,0.954 g/cm3,-18.2 F,-6.1 F,450 ml/100ml,5.1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
N#CCC#N,66.06 g/mol,1.19 g/cm3,32 C,426 F,13 %,0.200 mmHg,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
N#CCCC#N,80.09 g/mol,1.02 g/cm3,57 C,266 C,13 g/100ml,2 mmHg,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
N1C=NN=C1,69.07 g/mol,640 kg/m3,120 C,260 C,1250 g/L,0.6 mmHg,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC(N)=O,60.056 g/mol,1.323 g/cm3,132.7C,,Very soluble,0.000012 mmHg,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC=O,45.041 g/mol,1.133 g/cm3,36.5 F,410 F,miscible,3 mmHg,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NC1=CC=CC=C1,93.13 g/mol,1.02 g/cm3,-6.0 C,184.1C,"36,000 mg/L",0.67 mmHg,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
OC1=CC=CC=C1,94.11 g/mol,1.071 g/cm3,40.9C,360 F,83 g/L,0.35 mmHg,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
OCC(F)(F)F,100.04 g/mol,1.325g/mL,-43.5 C,74.0 C,Miscible,71.3 mmHg,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
OCC#C,56.06 g/mol,0.9715 g/cm3,-54 F,236.5 F,Miscible,15.6 mmHg,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
OCC=O,60.05 g/mol,1.065 g/mL,97 C,131.3 C,,4.97 mmHg,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
OCCC#N,71.08 g/mol,1.04 g/mL,-51 F,442 F,miscible,0.08 mmHg,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
